epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,292.822,0.50458,0.37515,1.02915,0.99614,0.94048,0.9759,0.86702,0.51512,0.33232,1.00495,0.00098525,0.00098525,0.00098525
43,299.688,0.48296,0.36261,1.00912,0.99339,0.96726,0.98617,0.91097,0.43794,0.31053,0.90319,0.0009605,0.0009605,0.0009605
44,306.621,0.46951,0.35629,1.01052,0.99052,0.96429,0.97934,0.90248,0.43911,0.30222,0.90744,0.00093575,0.00093575,0.00093575
45,313.503,0.47954,0.36386,1.00868,0.98433,0.96726,0.97817,0.89704,0.43431,0.29126,0.9134,0.000911,0.000911,0.000911
46,320.437,0.4823,0.35792,1.00432,0.98251,0.96429,0.97905,0.91221,0.43873,0.29171,0.90563,0.00088625,0.00088625,0.00088625
47,327.461,0.45438,0.34109,0.99109,0.9969,0.95694,0.98132,0.9213,0.40341,0.2732,0.87486,0.0008615,0.0008615,0.0008615
48,334.533,0.45714,0.34828,0.99027,1,0.9607,0.98441,0.92466,0.40658,0.28727,0.89287,0.00083675,0.00083675,0.00083675
49,341.396,0.45951,0.33099,0.9949,0.9887,0.95238,0.98232,0.92123,0.41969,0.30902,0.90275,0.000812,0.000812,0.000812
50,348.28,0.44763,0.33633,1.00077,0.98834,0.97024,0.98079,0.92423,0.38371,0.28083,0.87028,0.00078725,0.00078725,0.00078725
51,355.125,0.43092,0.3314,0.99358,0.99362,0.96726,0.98036,0.92763,0.37931,0.29277,0.85866,0.0007625,0.0007625,0.0007625
52,362.037,0.43383,0.32877,0.98756,0.98476,0.96128,0.97743,0.91554,0.43234,0.29714,0.89716,0.00073775,0.00073775,0.00073775
53,369.039,0.43216,0.32327,0.9882,0.98339,0.97024,0.98182,0.9315,0.37652,0.27931,0.85765,0.000713,0.000713,0.000713
54,376.107,0.43828,0.3194,0.99249,0.97352,0.95833,0.97575,0.92924,0.37566,0.28959,0.87392,0.00068825,0.00068825,0.00068825
55,383.068,0.42116,0.31366,0.9812,0.99389,0.96897,0.98431,0.93892,0.37331,0.26768,0.85271,0.0006635,0.0006635,0.0006635
56,389.921,0.41332,0.31449,0.98333,0.9979,0.96131,0.98356,0.93818,0.37484,0.29553,0.86179,0.00063875,0.00063875,0.00063875
57,397.006,0.42642,0.32069,0.98809,0.98114,0.97321,0.98123,0.94289,0.37375,0.29671,0.8637,0.000614,0.000614,0.000614
58,404.229,0.41348,0.30404,0.98116,0.9876,0.97024,0.98608,0.92916,0.39319,0.27281,0.88211,0.00058925,0.00058925,0.00058925
59,411.268,0.39673,0.30473,0.96541,0.98778,0.96215,0.9814,0.93368,0.37579,0.27862,0.85826,0.0005645,0.0005645,0.0005645
60,418.223,0.40789,0.30248,0.96768,0.99693,0.96689,0.98624,0.93028,0.38725,0.28042,0.88058,0.00053975,0.00053975,0.00053975
61,425.139,0.40647,0.30257,0.97914,0.98484,0.96664,0.98645,0.9316,0.393,0.29991,0.88657,0.000515,0.000515,0.000515
62,432.224,0.39204,0.30271,0.97366,0.97784,0.97024,0.98151,0.93602,0.37121,0.29245,0.86308,0.00049025,0.00049025,0.00049025
63,439.207,0.399,0.29895,0.96935,0.99525,0.97321,0.9865,0.94661,0.35907,0.2771,0.84489,0.0004655,0.0004655,0.0004655
64,446.006,0.40202,0.30427,0.9727,0.99261,0.96726,0.98266,0.94001,0.3527,0.26248,0.84163,0.00044075,0.00044075,0.00044075
65,452.775,0.37965,0.29216,0.96655,0.98197,0.97261,0.98342,0.93512,0.35708,0.26645,0.8411,0.000416,0.000416,0.000416
66,459.588,0.37694,0.28545,0.96081,0.99083,0.96482,0.98686,0.94311,0.35577,0.26516,0.85071,0.00039125,0.00039125,0.00039125
67,466.334,0.37208,0.28395,0.95614,0.99387,0.96562,0.98648,0.94617,0.34035,0.2592,0.83267,0.0003665,0.0003665,0.0003665
68,473.082,0.36983,0.28518,0.95638,0.99694,0.9697,0.98355,0.94679,0.34239,0.26185,0.83217,0.00034175,0.00034175,0.00034175
69,479.855,0.36792,0.2796,0.96124,0.97272,0.96131,0.9841,0.94488,0.34706,0.26855,0.83901,0.000317,0.000317,0.000317
70,486.957,0.35639,0.2762,0.95095,0.99693,0.96514,0.98589,0.95247,0.32305,0.25744,0.82236,0.00029225,0.00029225,0.00029225
71,513.912,0.29939,0.22542,0.91465,0.99337,0.96131,0.98522,0.9444,0.32317,0.25881,0.81904,0.0002675,0.0002675,0.0002675
72,523.069,0.28773,0.20389,0.89537,0.99886,0.97024,0.98597,0.94756,0.3287,0.25026,0.82468,0.00024275,0.00024275,0.00024275
73,531.581,0.27767,0.20077,0.88223,1,0.96587,0.98628,0.94374,0.34074,0.2496,0.8288,0.000218,0.000218,0.000218
74,539.899,0.27863,0.19634,0.89366,1,0.96665,0.987,0.95454,0.32819,0.24545,0.80843,0.00019325,0.00019325,0.00019325
75,548.117,0.27174,0.19491,0.88875,0.99093,0.9753,0.9863,0.95199,0.31508,0.23893,0.8082,0.0001685,0.0001685,0.0001685
76,556.052,0.26465,0.18896,0.87406,1,0.96417,0.98696,0.95971,0.30125,0.23513,0.80399,0.00014375,0.00014375,0.00014375
77,563.614,0.25219,0.18807,0.87306,0.99608,0.97321,0.98745,0.96229,0.29511,0.22819,0.79537,0.000119,0.000119,0.000119
78,571.916,0.25174,0.18067,0.87991,0.99961,0.97024,0.98745,0.9604,0.29125,0.22848,0.79317,9.425e-05,9.425e-05,9.425e-05
79,580.056,0.25187,0.17906,0.87459,0.99943,0.97024,0.98743,0.96256,0.28759,0.22557,0.78987,6.95e-05,6.95e-05,6.95e-05
80,588.18,0.24449,0.17369,0.86981,0.99996,0.96726,0.98744,0.96259,0.28377,0.22092,0.789,4.475e-05,4.475e-05,4.475e-05
